,Player Names,Player Salaries
0,PLAYER,"$44,310,840"
1,Stephen Curry,"$44,310,840"
2,John Wall,"$44,211,146"
3,James Harden,"$42,018,900"
4,Russell Westbrook,"$41,180,544"
5,Kevin Durant,"$39,344,970"
6,LeBron James,"$39,344,900"
7,Paul George,"$39,344,900"
8,Kawhi Leonard,"$39,344,900"
9,Giannis Antetokounmpo,"$37,980,720"
10,Damian Lillard,"$36,016,200"
11,Klay Thompson,"$35,995,950"
12,Jimmy Butler,"$35,500,000"
13,Tobias Harris,"$35,361,360"
14,Khris Middleton,"$35,328,700"
15,Anthony Davis,"$34,967,442"
16,Kyrie Irving,"$34,844,000"
17,Kemba Walker,"$33,724,200"
18,Rudy Gobert,"$33,003,936"
19,Bradley Beal,"$33,003,936"
20,Ben Simmons,"$32,431,333"
21,Pascal Siakam,"$32,405,817"
22,Jrue Holiday,"$31,650,600"
23,Blake Griffin,"$31,650,600"
24,Karl-Anthony Towns,"$31,650,600"
25,Devin Booker,"$31,579,390"
26,Kristaps Porzingis,"$31,579,390"
27,Nikola Jokic,"$31,579,390"
28,Andrew Wiggins,"$31,258,256"
29,Joel Embiid,"$30,864,198"
30,Kevin Love,"$30,800,000"
31,CJ McCollum,"$30,013,500"
32,Chris Paul,"$29,925,000"
33,D'Angelo Russell,"$29,467,800"
34,Gordon Hayward,"$29,467,800"
35,Jamal Murray,"$28,103,500"
36,Brandon Ingram,"$28,103,500"
37,Jayson Tatum,"$28,103,500"
38,Bam Adebayo,"$28,103,500"
39,De'Aaron Fox,"$27,000,000"
40,Donovan Mitchell,"$26,984,128"
41,Al Horford,"$26,758,928"
42,Kyle Lowry,"$26,000,000"
43,Jaylen Brown,"$24,026,712"
44,DeMar DeRozan,"$24,000,000"
45,Draymond Green,"$23,073,234"
46,Nikola Vucevic,"$23,000,000"
47,Buddy Hield,"$21,780,000"
48,John Collins,"$21,700,000"
49,Julius Randle,"$21,306,816"
50,Malcolm Brogdon,"$21,000,000"
51,Tim Hardaway Jr,"$20,932,143"
52,Mike Conley,"$20,475,000"
53,Gary Harris,"$20,284,091"
54,Danilo Gallinari,"$20,002,500"
55,Harrison Barnes,"$20,000,000"
56,Jerami Grant,"$19,675,926"
57,Jarrett Allen,"$19,500,000"
58,Fred VanVleet,"$19,348,907"
59,Zach LaVine,"$18,700,000"
60,Goran Dragic,"$18,604,651"
61,Bojan Bogdanovic,"$18,603,448"
62,Lonzo Ball,"$18,500,000"
63,Clint Capela,"$18,218,818"
64,Domantas Sabonis,"$18,125,000"
65,Eric Gordon,"$18,000,000"
66,Eric Bledsoe,"$18,000,000"
67,Bogdan Bogdanovic,"$17,905,263"
68,Myles Turner,"$17,800,000"
69,Terry Rozier,"$17,500,000"
70,Ricky Rubio,"$17,400,000"
71,Caris LeVert,"$17,357,143"
72,Jonathan Isaac,"$17,142,857"
73,Joe Harris,"$17,142,857"
74,Spencer Dinwiddie,"$17,073,171"
75,Evan Fournier,"$16,500,000"
76,Steven Adams,"$16,409,091"
77,Markelle Fultz,"$16,071,429"
78,Aaron Gordon,"$16,000,000"
79,OG Anunoby,"$16,000,000"
80,Gary Trent Jr,"$15,690,909"
81,Davis Bertans,"$15,678,571"
82,Lauri Markkanen,"$15,650,000"
83,Derrick White,"$15,627,907"
84,Duncan Robinson,"$15,625,000"
85,Marcus Morris,"$15,517,242"
86,Will Barton,"$15,428,880"
87,Norman Powell,"$14,491,964"
88,Dejounte Murray,"$14,339,285"
89,Malik Beasley,"$14,320,987"
90,Marcus Smart,"$14,190,000"
91,Patrick Beverley,"$14,000,000"
92,Thaddeus Young,"$13,750,000"
93,Jonas Valanciunas,"$13,666,667"
94,Doug McDermott,"$13,445,120"
95,Christian Wood,"$13,302,325"
96,Derrick Rose,"$13,038,862"
97,Brook Lopez,"$13,036,364"
98,Kentavious Caldwell-Pope,"$13,000,000"
99,Joe Ingles,"$13,000,000"
100,Kyle Kuzma,"$12,975,471"
101,Taurean Prince,"$12,940,000"
102,Robert Covington,"$12,727,273"
103,TJ Warren,"$12,632,950"
104,Luke Kennard,"$12,500,000"
105,Deandre Ayton,"$12,420,000"
106,Terrence Ross,"$12,200,000"
107,Jordan Clarkson,"$12,195,122"
108,Dillon Brooks,"$12,026,998"
109,Kelly Olynyk,"$12,000,000"
110,Nicolas Batum,"$12,000,000"
111,Josh Hart,"$12,000,000"
112,Kelly Oubre,"$11,615,328"
113,Jusuf Nurkic,"$11,312,114"
114,Josh Richardson,"$11,109,327"
115,Marvin Bagley,"$11,080,125"
116,DeAndre Jordan,"$11,000,000"
117,Dwight Powell,"$10,733,400"
118,Devonte Graham,"$10,690,909"
119,Zion Williamson,"$10,500,000"
120,Larry Nance Jr,"$10,384,500"
121,Jeremy Lamb,"$10,384,500"
122,Reggie Jackson,"$10,335,621"
123,Richaun Holmes,"$10,245,480"
124,Al-Farouq Aminu,"$10,174,391"
125,Anthony Edwards,"$10,050,120"
126,Luka Doncic,"$10,000,000"
127,Cade Cunningham,"$10,000,000"
128,Danny Green,"$9,946,611"
129,Tomas Satoransky,"$9,937,150"
130,Tristan Thompson,"$9,720,900"
131,Kyle Anderson,"$9,720,900"
132,Derrick Favors,"$9,720,900"
133,Jae Crowder,"$9,720,900"
134,Montrezl Harrell,"$9,720,900"
135,Derrick Jones,"$9,603,360"
136,Serge Ibaka,"$9,536,000"
137,Ja Morant,"$9,536,000"
138,Reggie Bullock,"$9,500,000"
139,Alec Burks,"$9,248,333"
140,Talen Horton-Tucker,"$9,180,560"
141,Mason Plumlee,"$9,166,800"
142,Jaren Jackson Jr,"$8,992,080"
143,James Wiseman,"$8,825,000"
144,Jalen Green,"$8,805,976"
145,Maxi Kleber,"$8,800,000"
146,De'Anthony Melton,"$8,800,000"
147,Nerlens Noel,"$8,750,000"
148,Royce O'Neale,"$8,666,667"
149,Jakob Poeltl,"$8,623,920"
150,Thomas Bryant,"$8,600,000"
151,RJ Barrett,"$8,526,316"
152,Alex Caruso,"$8,510,000"
153,Delon Wright,"$8,449,074"
154,Dario Saric,"$8,376,286"
155,Monte Morris,"$8,326,471"
156,Tyus Jones,"$8,280,351"
157,Trae Young,"$8,231,760"
158,Daniel Theis,"$8,207,518"
159,LaMelo Ball,"$8,200,000"
160,Seth Curry,"$8,133,334"
161,JaMychal Green,"$8,075,160"
162,Cedi Osman,"$7,775,400"
163,Evan Mobley,"$7,622,467"
164,De'Andre Hunter,"$7,568,743"
165,DJ Augustin,"$7,518,518"
166,Mo Bamba,"$7,500,000"
167,Ivica Zubac,"$7,500,000"
168,TJ McConnell,"$7,422,000"
169,Rajon Rondo,"$7,310,000"
170,Patrick Williams,"$7,280,400"
171,Cory Joseph,"$7,040,880"
172,Scottie Barnes,"$7,020,000"
173,Darius Garland,"$7,000,000"
174,Chris Boucher,"$7,000,000"
175,PJ Tucker,"$6,920,027"
176,Zach Collins,"$6,907,815"
177,Wendell Carter,"$6,720,720"
178,Juan Hernangomez,"$6,592,920"
179,Isaac Okoro,"$6,500,000"
180,Jalen Suggs,"$6,431,666"
181,Cameron Payne,"$6,395,160"
182,Joakim Noah,"$6,350,000"
183,Jarrett Culver,"$6,349,671"
184,Khem Birch,"$6,104,280"
185,Collin Sexton,"$6,006,420"
186,Onyeka Okongwu,"$5,988,000"
187,Justin Holiday,"$5,890,000"
188,Josh Giddey,"$5,890,000"
189,Patrick Mills,"$5,890,000"
190,Rudy Gay,"$5,845,978"
191,Dennis Schroeder,"$5,837,760"
192,Kevin Knox,"$5,573,333"
193,Coby White,"$5,572,680"
194,Timofey Mozgov,"$5,557,725"
195,Killian Hayes,"$5,495,532"
196,Mikal Bridges,"$5,466,360"
197,Shai Gilgeous-Alexander,"$5,421,493"
198,Jonathan Kuminga,"$5,348,280"
199,Miles Bridges,"$5,333,334"
200,Jaxson Hayes,"$5,317,430"
201,Pat Connaughton,"$5,275,491"
202,Kris Dunn,"$5,258,735"
203,George Hill,"$5,256,308"
204,Michael Porter,"$5,214,583"
205,Dewayne Dedmon,"$5,200,000"
206,Ryan Anderson,"$5,178,572"
207,Hamidou Diallo,"$5,170,564"
208,Kevon Looney,"$5,105,160"
209,Troy Brown,"$5,007,840"
210,Obi Toppin,"$5,005,350"
211,Franz Wagner,"$5,000,000"
212,Josh Jackson,"$5,000,000"
213,Kendrick Nunn,"$5,000,000"
214,Louis Williams,"$5,000,000"
215,Luol Deng,"$5,000,000"
216,Robin Lopez,"$4,997,424"
217,JaVale McGee,"$4,916,160"
218,Danuel House,"$4,910,000"
219,Rui Hachimura,"$4,910,000"
220,Garrett Temple,"$4,878,049"
221,Taj Gibson,"$4,736,102"
222,Torrey Craig,"$4,692,840"
223,Bruce Brown,"$4,675,830"
224,Deni Avdija,"$4,670,160"
225,Donte DiVincenzo,"$4,650,000"
226,Cam Reddish,"$4,629,630"
227,David Nwaba,"$4,603,200"
228,Furkan Korkmaz,"$4,500,000"
229,Davion Mitchell,"$4,500,000"
230,Ishmael Smith,"$4,500,000"
231,Jeff Green,"$4,458,000"
232,Bryn Forbes,"$4,447,896"
233,Jalen Smith,"$4,437,000"
234,Lonnie Walker,"$4,373,040"
235,Cameron Johnson,"$4,347,600"
236,Ziaire Williams,"$4,347,600"
237,Bobby Portis,"$4,253,357"
238,Moe Harkless,"$4,235,160"
239,Kevin Huerter,"$4,224,186"
240,Devin Vassell,"$4,220,083"
241,Chandler Hutchison,"$4,215,120"
242,Willie Cauley-Stein,"$4,154,400"
243,PJ Washington,"$4,107,149"
244,James Bouknight,"$4,087,904"
245,Jevon Carter,"$4,054,695"
246,Josh Okogie,"$4,050,000"
247,Grayson Allen,"$4,023,600"
248,Jarred Vanderbilt,"$4,004,280"
249,Tyrese Haliburton,"$4,000,000"
250,Tyler Herro,"$4,000,000"
