,Player Names,Player Salaries
0,Stephen Curry,"$44,310,840"
1,John Wall,"$44,310,840"
2,James Harden,"$44,211,146"
3,Russell Westbrook,"$42,018,900"
4,Kevin Durant,"$41,180,544"
5,LeBron James,"$39,344,970"
6,Paul George,"$39,344,900"
7,Kawhi Leonard,"$39,344,900"
8,Giannis Antetokounmpo,"$39,344,900"
9,Damian Lillard,"$37,980,720"
10,Klay Thompson,"$36,016,200"
11,Jimmy Butler,"$35,995,950"
12,Tobias Harris,"$35,500,000"
13,Khris Middleton,"$35,361,360"
14,Anthony Davis,"$35,328,700"
15,Kyrie Irving,"$34,967,442"
16,Kemba Walker,"$34,844,000"
17,Rudy Gobert,"$33,724,200"
18,Bradley Beal,"$33,003,936"
19,Ben Simmons,"$33,003,936"
20,Pascal Siakam,"$32,431,333"
21,Jrue Holiday,"$32,405,817"
22,Blake Griffin,"$31,650,600"
23,Karl-Anthony Towns,"$31,650,600"
24,Devin Booker,"$31,650,600"
25,Kristaps Porzingis,"$31,579,390"
26,Nikola Jokic,"$31,579,390"
27,Andrew Wiggins,"$31,579,390"
28,Joel Embiid,"$31,258,256"
29,Kevin Love,"$30,864,198"
30,CJ McCollum,"$30,800,000"
31,Chris Paul,"$30,013,500"
32,D'Angelo Russell,"$29,925,000"
33,Gordon Hayward,"$29,467,800"
34,Jamal Murray,"$29,467,800"
35,Brandon Ingram,"$28,103,500"
36,Jayson Tatum,"$28,103,500"
37,Bam Adebayo,"$28,103,500"
38,De'Aaron Fox,"$28,103,500"
39,Donovan Mitchell,"$27,000,000"
40,Al Horford,"$26,984,128"
41,Kyle Lowry,"$26,758,928"
42,Jaylen Brown,"$26,000,000"
43,DeMar DeRozan,"$24,026,712"
44,Draymond Green,"$24,000,000"
45,Nikola Vucevic,"$23,073,234"
46,Buddy Hield,"$23,000,000"
47,John Collins,"$21,780,000"
48,Julius Randle,"$21,700,000"
49,Malcolm Brogdon,"$21,306,816"
50,Tim Hardaway Jr,"$21,000,000"
51,Mike Conley,"$20,932,143"
52,Gary Harris,"$20,475,000"
53,Danilo Gallinari,"$20,284,091"
54,Harrison Barnes,"$20,002,500"
55,Jerami Grant,"$20,000,000"
56,Jarrett Allen,"$19,675,926"
57,Fred VanVleet,"$19,500,000"
58,Zach LaVine,"$19,348,907"
59,Goran Dragic,"$18,700,000"
60,Bojan Bogdanovic,"$18,604,651"
61,Lonzo Ball,"$18,603,448"
62,Clint Capela,"$18,500,000"
63,Domantas Sabonis,"$18,218,818"
64,Eric Gordon,"$18,125,000"
65,Eric Bledsoe,"$18,000,000"
66,Bogdan Bogdanovic,"$18,000,000"
67,Myles Turner,"$17,905,263"
68,Terry Rozier,"$17,800,000"
69,Ricky Rubio,"$17,500,000"
70,Caris LeVert,"$17,400,000"
71,Jonathan Isaac,"$17,357,143"
72,Joe Harris,"$17,142,857"
73,Spencer Dinwiddie,"$17,142,857"
74,Evan Fournier,"$17,073,171"
75,Steven Adams,"$16,500,000"
76,Markelle Fultz,"$16,409,091"
77,Aaron Gordon,"$16,071,429"
78,OG Anunoby,"$16,000,000"
79,Gary Trent Jr,"$16,000,000"
80,Davis Bertans,"$15,690,909"
81,Lauri Markkanen,"$15,678,571"
82,Derrick White,"$15,650,000"
83,Duncan Robinson,"$15,627,907"
84,Marcus Morris,"$15,625,000"
85,Will Barton,"$15,517,242"
86,Norman Powell,"$15,428,880"
87,Dejounte Murray,"$14,491,964"
88,Malik Beasley,"$14,339,285"
89,Marcus Smart,"$14,320,987"
90,Patrick Beverley,"$14,190,000"
91,Thaddeus Young,"$14,000,000"
92,Jonas Valanciunas,"$13,750,000"
93,Doug McDermott,"$13,666,667"
94,Christian Wood,"$13,445,120"
95,Derrick Rose,"$13,302,325"
96,Brook Lopez,"$13,038,862"
97,Kentavious Caldwell-Pope,"$13,036,364"
98,Joe Ingles,"$13,000,000"
99,Kyle Kuzma,"$13,000,000"
100,Taurean Prince,"$12,975,471"
101,Robert Covington,"$12,940,000"
102,TJ Warren,"$12,727,273"
103,Luke Kennard,"$12,632,950"
104,Deandre Ayton,"$12,500,000"
105,Terrence Ross,"$12,420,000"
106,Jordan Clarkson,"$12,200,000"
107,Dillon Brooks,"$12,195,122"
108,Kelly Olynyk,"$12,026,998"
109,Nicolas Batum,"$12,000,000"
110,Josh Hart,"$12,000,000"
111,Kelly Oubre,"$12,000,000"
112,Jusuf Nurkic,"$11,615,328"
113,Josh Richardson,"$11,312,114"
114,Marvin Bagley,"$11,109,327"
115,DeAndre Jordan,"$11,080,125"
116,Dwight Powell,"$11,000,000"
117,Devonte Graham,"$10,733,400"
118,Zion Williamson,"$10,690,909"
119,Larry Nance Jr,"$10,500,000"
120,Jeremy Lamb,"$10,384,500"
121,Reggie Jackson,"$10,384,500"
122,Richaun Holmes,"$10,335,621"
123,Al-Farouq Aminu,"$10,245,480"
124,Anthony Edwards,"$10,174,391"
125,Luka Doncic,"$10,050,120"
126,Cade Cunningham,"$10,000,000"
127,Danny Green,"$10,000,000"
128,Tomas Satoransky,"$9,946,611"
129,Tristan Thompson,"$9,937,150"
130,Kyle Anderson,"$9,720,900"
131,Derrick Favors,"$9,720,900"
132,Jae Crowder,"$9,720,900"
133,Montrezl Harrell,"$9,720,900"
134,Derrick Jones,"$9,720,900"
135,Serge Ibaka,"$9,603,360"
136,Ja Morant,"$9,536,000"
137,Reggie Bullock,"$9,536,000"
138,Alec Burks,"$9,500,000"
139,Talen Horton-Tucker,"$9,248,333"
140,Mason Plumlee,"$9,180,560"
141,Jaren Jackson Jr,"$9,166,800"
142,James Wiseman,"$8,992,080"
143,Jalen Green,"$8,825,000"
144,Maxi Kleber,"$8,805,976"
145,De'Anthony Melton,"$8,800,000"
146,Nerlens Noel,"$8,800,000"
147,Royce O'Neale,"$8,750,000"
148,Jakob Poeltl,"$8,666,667"
149,Thomas Bryant,"$8,623,920"
150,RJ Barrett,"$8,600,000"
151,Alex Caruso,"$8,526,316"
152,Delon Wright,"$8,510,000"
153,Dario Saric,"$8,449,074"
154,Monte Morris,"$8,376,286"
155,Tyus Jones,"$8,326,471"
156,Trae Young,"$8,280,351"
157,Daniel Theis,"$8,231,760"
158,LaMelo Ball,"$8,207,518"
159,Seth Curry,"$8,200,000"
160,JaMychal Green,"$8,133,334"
161,Cedi Osman,"$8,075,160"
162,Evan Mobley,"$7,775,400"
163,De'Andre Hunter,"$7,622,467"
164,DJ Augustin,"$7,568,743"
165,Mo Bamba,"$7,518,518"
166,Ivica Zubac,"$7,500,000"
167,TJ McConnell,"$7,500,000"
168,Rajon Rondo,"$7,422,000"
169,Patrick Williams,"$7,310,000"
170,Cory Joseph,"$7,280,400"
171,Scottie Barnes,"$7,040,880"
172,Darius Garland,"$7,020,000"
173,Chris Boucher,"$7,000,000"
174,PJ Tucker,"$7,000,000"
175,Zach Collins,"$6,920,027"
176,Wendell Carter,"$6,907,815"
177,Juan Hernangomez,"$6,720,720"
178,Isaac Okoro,"$6,592,920"
179,Jalen Suggs,"$6,500,000"
180,Cameron Payne,"$6,431,666"
181,Joakim Noah,"$6,395,160"
182,Jarrett Culver,"$6,350,000"
183,Khem Birch,"$6,349,671"
184,Collin Sexton,"$6,104,280"
185,Onyeka Okongwu,"$6,006,420"
186,Justin Holiday,"$5,988,000"
187,Josh Giddey,"$5,890,000"
188,Patrick Mills,"$5,890,000"
189,Rudy Gay,"$5,890,000"
190,Dennis Schroeder,"$5,845,978"
191,Kevin Knox,"$5,837,760"
192,Coby White,"$5,573,333"
193,Timofey Mozgov,"$5,572,680"
194,Killian Hayes,"$5,557,725"
195,Mikal Bridges,"$5,495,532"
196,Shai Gilgeous-Alexander,"$5,466,360"
197,Jonathan Kuminga,"$5,421,493"
198,Miles Bridges,"$5,348,280"
199,Jaxson Hayes,"$5,333,334"
200,Pat Connaughton,"$5,317,430"
201,Kris Dunn,"$5,275,491"
202,George Hill,"$5,258,735"
